Breed,Breed Group UKC,Height,Weight,Lifespan
American Bully,Companion Dog,18,77.5,11
Bichon Frise,Companion Dog,10.5,12.5,14.5
Boston Terrier,Companion Dog,15.5,18.5,12
Brussels Griffon,Companion Dog,8.5,10,13.5
Bulldog,Companion Dog,14.5,49,9
Cavalier King Charles Spaniel,Companion Dog,12.5,15.5,13.5
Chihuahua,Companion Dog,7.5,4,15
Chinese Crested,Companion Dog,11,9,15.5
Dalmatian,Companion Dog,21.5,58,12
English Bulldog,Companion Dog,14.5,49,9
English Toy Spaniel,Companion Dog,10,11,11
French Bulldog,Companion Dog,12,22,11
Havanese,Companion Dog,10,10.5,15
Italian Greyhound,Companion Dog,13.5,10.5,14.5
Japanese Chin,Companion Dog,10,9.5,11
Lhasa Apso,Companion Dog,10.5,15,13.5
Maltese,Companion Dog,8.5,6.5,13.5
Miniature Pinscher,Companion Dog,11.5,10.5,14
Papillon,Companion Dog,9.5,8,15
Pekingese,Companion Dog,9,10,11.4
Pomeranian,Companion Dog,9.5,5,14
Poodle Toy,Companion Dog,10,6,14
"Poodle, Miniature",Companion Dog,12.5,24.5,14
Pug,Companion Dog,12,16,14
Schipperke,Companion Dog,11.5,14.5,13
Shih Tzu,Companion Dog,9.5,13.5,14
Tibetan Spaniel,Companion Dog,10,12,13.5
Tibetan Terrier,Companion Dog,15.5,24,15.5
Yorkshire Terrier,Companion Dog,7,5.5,13
Affenpinscher,Companion Dog,10.5,10,13.5
Coton de Tulear,Companion Dog,10,11.5,17
Aidi,Guardian Dog,22.25,52.5,12.5
Akbash Dog,Guardian Dog,30.5,107.5,10
Bullmastiff,Guardian Dog,25.5,110,8
Cane Corso,Guardian Dog,25.5,95,10.5
Doberman Pinscher,Guardian Dog,26.5,80,11
Dogo Argentino,Guardian Dog,25,90,12
Giant Schnauzer,Guardian Dog,25.5,79.5,13.5
Great Dane,Guardian Dog,31,149.5,8.5
Great Pyrenees,Guardian Dog,28.5,100,12.5
Greater Swiss Mountain Dog,Guardian Dog,26,112.5,9.5
Kangal,Guardian Dog,30,120,13.5
Komondor,Guardian Dog,26.5,107.5,11
Kuvasz,Guardian Dog,28,92.5,11
Mastiff,Guardian Dog,28,175,8
Neapolitan Mastiff,Guardian Dog,27,132,8
Newfoundland,Guardian Dog,27,126,9.5
Perro de Presa Canario,Guardian Dog,24,113.5,10
Rottweiler,Guardian Dog,24.5,112.5,9.5
Saint Bernard,Guardian Dog,30.5,160,9
"Schnauzer, Standard",Guardian Dog,19.5,39,14.5
Tibetan Mastiff,Guardian Dog,27,115,11
American Bulldog,Guardian Dog,23.5,92.5,11
Anatolian Shepherd Dog,Guardian Dog,28,125,12
Bernese Mountain Dog,Guardian Dog,25.25,92.5,8.5
Black Russian Terrier,Guardian Dog,28,111.5,11
Boxer,Guardian Dog,23,67.5,11
Olde English Bulldogge,Guardian Dog,17.5,65,12.5
American Cocker Spaniel,Gun Dog,14.5,22.5,12
American Water Spaniel,Gun Dog,16.5,35,12
Barbet,Gun Dog,21.75,50,13
Boykin Spaniel,Gun Dog,16,32.5,12.5
Brittany,Gun Dog,19,37.5,13
Chesapeake Bay Retriever,Gun Dog,23.5,67.5,11.5
Clumber Spaniel,Gun Dog,18.5,70,11
Curly Coated Retriever,Gun Dog,25,77.5,11
English Cocker Spaniel,Gun Dog,16.5,29.5,13
